,gene,log2FoldChange,pvalue,mean_NAFL,mean_NASH,t_statistic,padj
9273,SOGA1,0.8074176929602568,2.6409775164515214e-11,27.764705882352942,49.340425531914896,7.540287785706324,3.3102398675717972e-09
6680,TIMP2,0.6345894101833901,2.7181733696261663e-11,797.8235294117648,1239.1702127659576,7.544315271277891,3.3795224870585975e-09
10776,ZMAT3,0.8743169945088445,2.904386710721312e-11,315.1764705882353,578.5957446808511,7.722668024550833,3.5821543935352368e-09
440,RIMS3,0.7679179110475614,3.0148570318981474e-11,22.215686274509803,38.53191489361702,7.572115612269929,3.6888929254582334e-09
14459,TMEM2,0.6026363179423099,3.0432145481685555e-11,785.4901960784314,1193.276595744681,7.513493687341191,3.6942707629224113e-09
13612,EXOC4,0.4191294232359967,3.098912737631352e-11,321.2549019607843,429.8936170212766,7.65883990338065,3.732495130942387e-09
4150,LAMP1,0.39562491085369916,3.15279419595815e-11,2817.0588235294117,3706.191489361702,7.507508825509607,3.767955668146263e-09
12215,EXOC2,0.5246035298624588,3.303282700853666e-11,170.50980392156862,245.72340425531914,7.508053627955816,3.887070494461271e-09
10685,GYG1,0.5840277366161346,3.2778565918924986e-11,84.01960784313725,126.44680851063829,7.542803943931838,3.887070494461271e-09
2015,PI4K2A,0.5545245708087568,3.328100831996418e-11,207.7843137254902,305.63829787234044,7.49300947668231,3.887070494461271e-09
12800,MARCKS,0.6095833634963763,3.377201171648555e-11,342.2549019607843,522.7446808510638,7.509496814647061,3.9147601852109606e-09
2308,DCHS1,0.6490719881999956,3.45587694151719e-11,125.76470588235294,197.7872340425532,7.622005458179445,3.976063791594815e-09
3263,RECQL,0.6491554674338258,3.527511986158991e-11,101.7843137254902,160.19148936170214,7.52412010762323,4.028418688193568e-09
9617,ITGB2,0.8448660934711982,3.831988036515259e-11,329.8235294117647,593.1914893617021,7.725277863551353,4.3439529087467465e-09
5279,IL32,1.2977043901023109,3.8637379564395246e-11,1088.3725490196077,2677.0851063829787,7.762108871875202,4.347974312002054e-09
6757,TBCD,0.3713014552665475,4.1945046558601205e-11,396.4313725490196,513.0851063829788,7.527312497580802,4.685991179666339e-09
15352,BGN,0.6145574932688439,4.419627833956077e-11,2206.607843137255,3379.0425531914893,7.486752004126767,4.901971389647543e-09
14,AGRN,0.5649224644268931,4.527166287301526e-11,529.9411764705883,784.4255319148937,7.431588842989353,4.9853801893805445e-09
13185,EPDR1,0.727988368377595,4.594891494044092e-11,68.3921568627451,113.93617021276596,7.458482072881698,5.0240739123175726e-09
13049,GNA12,0.5121179216904392,4.6456690228486565e-11,245.7450980392157,350.8936170212766,7.444589039690192,5.038605458805577e-09
11596,OSMR,1.108681335038409,4.673545959714585e-11,73.3921568627451,159.4255319148936,7.637013589976083,5.038605458805577e-09
10127,GLB1,0.4101868808068111,4.842793146634272e-11,582.6078431372549,774.531914893617,7.451457232932913,5.1490580649421085e-09
7771,C5AR1,0.8597683373534137,4.837012080584672e-11,34.254901960784316,62.97872340425532,7.480185292782222,5.1490580649421085e-09
1605,PITRM1,0.47128455425190113,4.9228693543779063e-11,402.72549019607845,558.7021276595744,7.48444000534132,5.1983477285235736e-09
1450,EPRS,0.5291841761887376,4.964178816950878e-11,499.88235294117646,721.8297872340426,7.440776020189708,5.206309171491951e-09
15039,HDAC6,0.5229312816071882,5.0364284254553756e-11,1230.9019607843138,1769.0851063829787,7.4168259231936275,5.21118235135876e-09
2017,MARVELD1,0.7432780603700848,5.0172081383638606e-11,53.666666666666664,90.51063829787235,7.464480394934087,5.21118235135876e-09
2986,TTC36,-0.5641801922995613,5.1329367406649675e-11,797.5098039215686,539.063829787234,-7.740822714243181,5.275632382055454e-09
6666,9-Sep,0.44684496241841437,5.2476414042816594e-11,832.7647058823529,1135.468085106383,7.398928804644235,5.3225583901191015e-09
4202,MMP14,0.725090723711024,5.236656416587837e-11,199.2156862745098,329.9574468085106,7.437833284671166,5.3225583901191015e-09
4986,NEO1,0.5851170655296701,5.354737937080602e-11,185.90196078431373,279.3829787234043,7.39296736989851,5.395685933070042e-09
